source,author,title,description,url,urlToImage,publishedAt,content,date
"{'id': 'cbs-news', 'name': 'CBS News'}",Kate Gibson,"Virginia tech company admonished for ""Whites only"" job posting",Arthur Grand Technologies blamed a disgruntled worker for posting a discriminatory job listing.,https://www.cbsnews.com/news/whites-only-job-posting-arthur-grand-technologies/,https://assets3.cbsnewsstatic.com/hub/i/r/2023/12/29/34908973-784f-4acb-bbbc-9b9d362901e5/thumbnail/1200x630/a3a5a820be3df4f938c34063a491e5c6/gettyimages-1419934098.jpg?v=83093a0dd27502f0a52cd68b1c5b8b6e,2024-05-24T16:20:00Z,"A Virginia company's job listing inviting only White people and the U.S.-born to apply for a position didn't just raise eyebrows online — it also caught the attention of the U.S. government.
Arthur … [+1629 chars]",2024-05-24
"{'id': 'cbc-news', 'name': 'CBC News'}",,Earth hit with 12 straight months of record-breaking temperatures,"The planet’s string of record-breaking temperatures has continued for a full year, with May marking the 12th consecutive month for which its average temperature set a new record for the month. The grim milestone prompted a call for urgent action from the Unit…",https://www.cbc.ca/news/climate/climate-warming-copernicus-record-united-nations-1.7224438,https://i.cbc.ca/1.7224439.1717538889!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/climate-asia-heat-waves.jpg,2024-06-05T14:30:00Z,"The planet's string of record-breaking temperatures has continued for a full year, with May marking the 12th consecutive month for which its average temperature set a new record for that month.
In t… [+4677 chars]",2024-06-05
"{'id': None, 'name': 'Yahoo Entertainment'}",Reuters,Foreigners pull money out of EM portfolios after five months of inflows,"Foreigners pulled money out of their emerging market portfolios in April on concerns of a tighter monetary policy path in the U.S., with outflows from stocks...",https://finance.yahoo.com/news/foreigners-pull-money-em-portfolios-202059633.html,https://media.zenfs.com/en/reuters-finance.com/311318a008bbd998edd9d65a8338b962,2024-05-30T20:20:59Z,"NEW YORK (Reuters) - Foreigners pulled money out of their emerging market portfolios in April on concerns of a tighter monetary policy path in the U.S., with outflows from stocks in India and Indones… [+1367 chars]",2024-05-30
"{'id': None, 'name': 'Yahoo Entertainment'}",Preeti Soni and Dan Strumpf,Modi Control of New Cabinet Suggests He Can ‘Manage His Allies’,"(Bloomberg) -- Indian Prime Minister Narendra Modi is keeping some of his closest advisers in place across key government leadership posts, an indication...",https://finance.yahoo.com/news/modi-control-cabinet-suggests-manage-104845147.html,https://s.yimg.com/ny/api/res/1.2/soMt14j23idqkaEENbfOWw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MjQ-/https://media.zenfs.com/en/bloomberg_markets_842/8e8ba05ff1b8a07832ee7c42e447dd8e,2024-06-11T10:48:45Z,"(Bloomberg) -- Indian Prime Minister Narendra Modi is keeping some of his closest advisers in place across key government leadership posts, an indication that his party remains firmly in control of t… [+4127 chars]",2024-06-11
"{'id': None, 'name': 'Yahoo Entertainment'}",Alex Gabriel Simon and Chiranjivi Chakraborty,India’s Stock Futures Surge as Polls Predict Landslide Modi Win,(Bloomberg) -- India’s stock futures jumped after exit polls indicated a resounding victory for Prime Minister Narendra Modi’s ruling party in general...,https://www.yahoo.com/news/india-stock-futures-surge-polls-015919536.html,https://s.yimg.com/ny/api/res/1.2/lIAk5hEoD55iDwpQOmlX7Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_politics_602/04f2d049bbb158617b3133167955b45c,2024-06-03T01:59:19Z,"(Bloomberg) -- Indias stock futures jumped after exit polls indicated a resounding victory for Prime Minister Narendra Modis ruling party in general elections that concluded Saturday.
Most Read from… [+3431 chars]",2024-06-03
"{'id': None, 'name': 'Forbes'}","Jamil Wyne, Contributor, 
 Jamil Wyne, Contributor
 https://www.forbes.com/sites/jamilwyne/",Time To Build Climate Innovation Ecosystems,A web of institutions and individuals have to collaborate in order for climate innovations to come even close to having a sustained presence.,https://www.forbes.com/sites/jamilwyne/2024/06/04/time-to-build-climate-innovation-ecosystems/,https://imageio.forbes.com/specials-images/imageserve/6658a5edd2ba2600f948d690/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-06-04T13:00:00Z,"Climate Innovation Ecosystem
Riffle Ventures
Decarbonizing heavy industry, predicting and preparing for extreme weather events, capturing carbon and other greenhouse gasses, building new insurance … [+9017 chars]",2024-06-04
"{'id': None, 'name': 'Bloguismo.com'}",Anairas,Blackjack Sites India 2024 Enjoy On the internet Black-jack Inside India,"Blogs Happy to Gamble Online Black-jack In australia? Games Having Better Rtp Time for you Enjoy Black-jack? Blackjack Give: All you have to Know Prior to Laying down The Method For individuals who gamble Blackjack video game on line, yet not, they broadens y…",https://www.bloguismo.com/blackjack-sites-india-2024-enjoy-on-the-internet-black-jack-inside-india/,https://g.twimg.com/Twitter_logo_blue.png,2024-06-20T02:33:52Z,"For individuals who gamble Blackjack video game on line, yet not, they broadens your options considerably. I have nine models away from on the web Black-jack video game and a real time broker type to… [+6880 chars]",2024-06-20
"{'id': None, 'name': 'Daily Beast'}",Shannon Vavra,Putin Publicly Mocks Advisor Who ‘Dozed’ Off at ‘Russian Davos’,"(Photo by Contributor/Getty Images)
Russian President Vladimir Putin told a longtime veteran adviser of his on Friday that he was making “offensive” comments about Russia’s economy in an appearance on stage at Russia’s prized international economic summit, t…",https://www.thedailybeast.com/vladimir-putin-publicly-mocks-advisor-who-dozed-off-at-russian-davos,"https://img.thedailybeast.com/image/upload/c_crop,d_placeholder_euli9k,h_4608,w_8192,x_0,y_328/dpr_2.0/c_limit,w_740/fl_lossy,q_auto/v1717779240/GettyImages-2155810401_1_rdue23",2024-06-07T18:19:01Z,Russian President Vladimir Putin told one of his longtime advisers on Friday that he was making offensive comments aboutRussias economy in an appearance on stage at Russias prized international econo… [+5902 chars],2024-06-07
"{'id': None, 'name': 'Bangkok Post'}",Wichit Chantanusornsiri,Exports must shift to cleaner production,"With the world moving towards green production, Deputy Finance Minister Paopoom Rojanasakul warns that Thailand will fall behind if the country does not shift in this direction.",https://www.bangkokpost.com/business/general/2802708/exports-must-shift-to-cleaner-production,https://static.bangkokpost.com/media/content/dcx/2024/05/31/5160138_700.jpg,2024-05-30T22:30:00Z,"With the world moving towards green production, Deputy Finance Minister Paopoom Rojanasakul warns that Thailand will fall behind if the country does not shift in this direction.
According to Mr Paop… [+2420 chars]",2024-05-30
"{'id': 'le-monde', 'name': 'Le Monde'}",Le Monde avec AFP,"En Inde, le premier ministre Narendra Modi a prêté serment pour un troisième mandat",Le dirigeant nationaliste a pour la première fois besoin d’une coalition pour former un gouvernement.,https://www.lemonde.fr/international/article/2024/06/09/en-inde-le-premier-ministre-narendra-modi-a-prete-serment-pour-un-troisieme-mandat_6238260_3210.html,https://img.lemde.fr/2024/06/09/0/0/4032/2688/1440/960/60/0/bc5e6e2_378a2ac2bf314a7b8c28e098bfd4c968-0-9da876fcd7f748e98e449b72710f013a.jpg,2024-06-09T14:49:47Z,"Narendra Modi, au centre, prête serment en tant que premier ministre au Rashtrapati Bhawan, à New Delhi, en Inde, le dimanche 9 juin 2024. MANISH SWARUP / AP
Le premier ministre indien, Narendra Mod… [+2317 chars]",2024-06-09
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",TIMESOFINDIA.COM,"'INC and INDIA bloc trying to undermine integrity of electoral process,' says Piyush Goyal after EC visit","Union Minister Piyush Goyal and Finance Minister Nirmala Sitharaman, accompanied by agencies, discussed critical measures with the Election Commission to safeguard India's electoral process.",https://timesofindia.indiatimes.com/india/inc-and-india-bloc-trying-to-undermine-integrity-of-electoral-process-says-piyush-goyal-after-ec-visit/articleshow/110642303.cms,"https://static.toiimg.com/thumb/msid-110642350,width-1070,height-580,imgsize-1040292,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2024-06-02T13:47:15Z,10 stunning space images captured by NASA's telescope,2024-06-02
"{'id': None, 'name': 'Forbes'}","Susie Violet Ward, Contributor, 
 Susie Violet Ward, Contributor
 https://www.forbes.com/sites/susievioletward/",Bitcoin And The Future Of The Lightning Network,"The Lightning Network is revolutionizing bitcoin transactions, making them faster and cheaper. This positions bitcoin as the future global settlement network.",https://www.forbes.com/sites/digital-assets/2024/06/07/bitcoin-and-the-future-of-the-lightning-network/,https://imageio.forbes.com/specials-images/imageserve/65e87d010c0c119aa5a71a00/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-06-07T09:23:33Z,"A visual representation of the digital cryptocurrency Bitcoin is shown in this photo illustration ... [+] taken in Brussels, Belgium, on February 25, 2024. Photo by Jonathan Raa/NurPhoto
NurPhoto vi… [+4610 chars]",2024-06-07
"{'id': None, 'name': 'Forbes'}","Gomathy Periathiruvadi, Forbes Councils Member, 
 Gomathy Periathiruvadi, Forbes Councils Member
 https://www.forbes.com/sites/forbesfinancecouncil/people/gomathyperiathiruvadi/",Fostering A Culture Of Empathy Drives Key Business Outcomes,"As your company evolves, particularly in the global economy, your culture must evolve as well.",https://www.forbes.com/sites/forbesfinancecouncil/2024/05/31/fostering-a-culture-of-empathy-drives-key-business-outcomes/,https://imageio.forbes.com/specials-images/imageserve/637e20ab069a5e6056588241/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-05-31T19:37:42Z,"Gomathy Periathiruvadi is the CFO of Alita Systems and president of Gove Technologies.
getty
The impact of company culture on key business outcomes cannot be understated. As your company evolves, p… [+4855 chars]",2024-05-31
"{'id': None, 'name': 'Forbes'}","Gaurav Sharma, Senior Contributor, 
 Gaurav Sharma, Senior Contributor
 https://www.forbes.com/sites/gauravsharma/",Global LNG Market May Witness A New Equilibrium In 2025,"Future Asian demand, pace of the energy transition and new supply coming onstream will likely influence a calmer direction of near-term travel.",https://www.forbes.com/sites/gauravsharma/2024/06/10/global-lng-market-may-witness-a-new-equilibrium-in-2025/,https://imageio.forbes.com/specials-images/imageserve/6666e4513efa6a7952f8ddd5/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-06-10T14:39:41Z,"The Asia Vision LNG vessel docked at the Cheniere Energy terminal, Sabine Pass, Texas, U.S. (Photo: ... [+] Lindsey Janies)
2016 Bloomberg Finance LP
Price cyclicality has always been a feature of … [+4615 chars]",2024-06-10
"{'id': None, 'name': 'Iasexamportal.com'}",trainee5,(THE GIST OF PIB) National Film Development Corporation of India,,https://iasexamportal.com/the-gist/pib-national-film-development-corporation-of-india,,2024-06-10T09:17:38Z,"<li>National Film Development Corporation of India (NFDC) is the central agency established to encourage the good cinema movement in the country. 
</li><li>It functions under the Ministry of Informa… [+429 chars]",2024-06-10
"{'id': None, 'name': 'Project Syndicate'}",Ellen Johnson Sirleaf,"During this Super Election Year, More Women Are Needed at the Top","With gender equality lagging behind the other Sustainable Development Goals, increasing the number of women elected to political leadership roles is crucial. But to make meaningful, lasting progress, governments and philanthropies must invest in empowering mo…",https://www.project-syndicate.org/commentary/women-in-political-leadership-gender-equality-lagging-other-sdgs-by-ellen-johnson-sirleaf-and-binaifer-nowrojee-2024-06,https://webapi.project-syndicate.org/library/19d084ffe0a8acd1c112d56a926c613d.2-1-super.1.jpg,2024-06-03T10:06:01Z,"With gender equality lagging behind the other Sustainable Development Goals, increasing the number of women elected to political leadership roles is crucial. But to make meaningful, lasting progress,… [+5199 chars]",2024-06-03
"{'id': None, 'name': 'Bloguismo.com'}",Anairas,"NRIs can take mortgage brokers however, criteria pertain","NRIs can take mortgage brokers however, criteria pertain Need at least a scholar education to apply for a great financial New Indian real estate market is attractive to have low-resident Indians (NRIs) as it is easier to earn in a more powerful money and pay …",https://www.bloguismo.com/nris-can-take-mortgage-brokers-however-criteria/,https://g.twimg.com/Twitter_logo_blue.png,2024-06-09T06:40:31Z,"NRIs can take mortgage brokers however, criteria pertain
Need at least a scholar education to apply for a great financial
New Indian real estate market is attractive to have low-resident Indians (N… [+6921 chars]",2024-06-09
